"","cluster1","cluster2","cluster4","cluster5"
"CGGA_1514",-0.574146627944698,-0.59877582602345,-0.451195247348265,-0.520997493348184
"CGGA_1516",-0.704514822784036,0.0619855356037256,-0.0791247341964535,-0.301660881089036
"CGGA_1517",-0.720642391528855,-0.365291949576292,-0.413420955664492,-0.424098714876174
"CGGA_1518",-0.622042377384356,-0.335541865544328,-0.483767708513989,-0.419684947920865
"CGGA_1520",0.130123436546242,-0.115566964880589,0.0981337152077651,-0.010581383748186
"CGGA_1521",0.303244072234993,0.349335998830816,0.313815889094886,0.644820199463056
"CGGA_1523",0.293428870698725,0.466528817577597,0.270181253043658,0.561832760963174
"CGGA_1524",-0.61728924487114,-0.0635561502872067,-0.0870434606913651,-0.28934816794781
"CGGA_1525",-0.510477093847064,-0.59726112235269,-0.600139513513612,-0.627493377204998
"CGGA_1526",-0.347991686411803,0.297871461206716,0.387817761077911,0.659767800893699
"CGGA_1527",-0.614977468438008,0.527508038792057,0.446019999863985,0.378204768259987
"CGGA_1528",-0.512022896283946,-0.559806106243179,-0.522625252452341,-0.479425869361431
"CGGA_1529",-0.432893469242342,-0.119559490374216,-0.398570773683856,-0.437607364465189
"CGGA_1530",-0.693649475247014,-0.682811630956644,-0.649515614210157,-0.655198383496403
"CGGA_1531",0.0994929639917096,0.682942477609194,0.527439181895628,0.67445976515795
"CGGA_1533",0.488569801958498,0.123466881662068,-0.261996803099322,-0.563456942543664
"CGGA_1534",-0.202262223616594,-0.29858924439809,-0.221377258724385,-0.542778177187215
"CGGA_1535",0.717121356164897,0.581752672682776,0.545558148716615,0.424416883029526
"CGGA_1536",-0.111605164841746,0.632085746774369,0.570188073461594,0.714259498895254
"CGGA_1537",0.693497537961016,0.155796257030227,0.190398477931556,0.206928468950851
"CGGA_1538",0.0967393837451339,0.0704076787783579,-0.151088549460725,-0.354404107606187
"CGGA_1539",-0.542223497467277,0.119932242561218,0.110503874774964,0.494825183074712
"CGGA_1541",-0.0224529651529916,0.47330130351552,0.276074060892245,0.135997016091224
"CGGA_1542",-0.262924583620062,-0.622467737093656,-0.580715993023691,-0.464381592143348
"CGGA_1543",0.597977676682457,0.106838663464412,0.304987122007344,-0.0345640654338715
